,postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh
0,0800,123,204,34.8,3348,405,2699,244,71,51,1,32376,"207,209",48.4
1,0810,3730,10091,35.5,26749,19774,5466,1509,3587,141,2,198075,"1,267,682",297.7
2,0812,2060,6486,30.7,13641,11034,2142,465,1993,65,2,101247,"647,978",151.9
3,0820,1297,5607,20.0,19964,6959,6752,6253,1123,170,4,188975,"1,209,440",286.2
4,0822,1092,9101,9.7,18423,5735,6354,6334,887,194,11,140603,"899,862",214.0
5,0828,319,593,43.3,4418,1638,2780,0,257,62,0,58001,"371,208",88.4
6,0829,39,342,5.8,1095,140,955,0,20,19,0,53328,"341,300",80.8
7,0830,2247,6006,35.9,16873,11964,2817,2092,2155,88,4,123408,"789,812",185.2
8,0832,2749,7488,35.9,17529,15607,1532,390,2690,58,1,86298,"552,306",129.5
9,0834,274,822,31.1,2132,1798,334,0,256,18,0,20441,"130,821",30.7
10,0835,552,1311,39.7,4000,3136,864,0,520,32,0,41918,"268,277",62.9
11,0836,1348,3038,41.6,9793,8293,1500,0,1263,85,0,79945,"511,646",120.0
12,0837,67,253,23.7,13139,402,232,12505,60,6,1,8113,"51,925",12.3
13,0838,141,388,33.0,1157,856,301,0,128,13,0,9796,"62,696",14.7
14,0839,34,393,5.3,1205,128,600,477,21,11,2,4218,"26,996",6.3
15,0840,129,428,29.4,839,794,45,0,126,3,0,6546,"41,892",9.8
16,0841,86,323,22.9,927,516,411,0,74,12,0,9994,"63,963",15.2
17,0845,84,279,24.0,25738,343,348,25047,67,15,2,7270,"46,528",11.1
18,0846,51,256,18.0,343,239,104,0,46,5,0,0,0,0.0
19,0847,24,273,7.7,283,125,158,0,21,3,0,0,0,0.0
20,0850,906,3298,25.0,41615,4605,2979,34031,823,81,2,77527,"496,170",123.1
21,0852,284,3326,6.0,4654,1082,2478,1094,201,80,3,8261,"52,870",12.8
22,0853,2,190,0.5,53,3,50,0,1,1,0,14440,"92,418",22.8
23,0854,17,329,3.3,234,60,174,0,11,6,0,5539,"35,452",8.7
24,0860,150,1214,11.1,1086,711,375,0,135,15,0,29800,"190,721",48.9
25,0862,59,699,5.3,590,201,389,0,37,22,0,0,0,0.0
26,0870,2829,9172,28.9,20584,12726,6014,1844,2650,173,6,179322,"1,147,661",294.6
27,0872,274,5145,3.3,7674,825,2698,4151,172,92,10,734,"4,696",1.2
28,0873,157,1851,7.9,1485,917,270,298,146,10,1,32502,"208,015",53.1
29,0874,21,303,6.6,161,121,40,0,20,1,0,3646,"23,336",6.0
30,0875,164,1024,15.2,1133,894,239,0,156,8,0,13650,"87,362",22.3
31,0880,29,1678,0.9,931,45,451,435,15,13,1,0,0,0.0
32,0885,24,348,2.0,772,44,728,0,7,17,0,0,0,0.0
33,0886,12,604,0.7,8622,21,151,8450,4,7,1,10849,"69,436",16.6
34,2000,66,821,2.8,2677,99,1556,1022,23,40,3,56265,"360,097",72.1
35,2007,31,288,7.3,440,82,358,0,21,10,0,16683,"106,772",21.4
36,2008,99,1253,6.1,939,275,664,0,77,22,0,19225,"123,041",24.7
37,2009,27,676,1.9,1667,50,662,955,13,11,3,18489,"118,330",23.8
38,2010,224,4212,4.4,1641,718,923,0,187,37,0,55246,"353,576",71.1
39,2011,58,1609,2.1,863,129,734,0,34,24,0,27559,"176,379",35.7
40,2015,315,1882,11.4,6458,900,4036,1522,215,96,4,111985,"716,707",144.7
41,2016,161,2135,6.6,1313,522,507,284,141,19,1,25204,"161,303",32.4
42,2017,112,1282,5.9,1662,324,1338,0,76,36,0,38899,"248,954",50.0
43,2018,494,2772,15.7,3251,2012,1239,0,436,58,0,55474,"355,036",71.4
44,2019,491,2432,16.0,4952,1766,3186,0,390,101,0,111059,"710,774",145.9
45,2020,436,2236,17.0,4364,1688,1967,709,380,54,2,89051,"569,928",113.3
46,2021,290,4536,5.7,1942,1091,851,0,258,32,0,40176,"257,127",51.8
47,2022,351,2569,12.5,1987,1457,530,0,322,29,0,33800,"216,322",43.5
48,2023,320,1713,13.7,2516,1254,1262,0,234,86,0,32095,"205,406",41.4
49,2024,473,2213,18.6,3223,1933,1290,0,412,61,0,27898,"178,548",35.9
50,2025,171,1730,8.6,1127,743,384,0,149,22,0,20893,"133,716",26.9
51,2026,739,3876,17.0,4295,3095,1200,0,657,82,0,61928,"396,340",79.8
52,2027,94,826,9.2,690,368,322,0,76,18,0,18381,"117,640",23.7
53,2028,77,596,9.6,677,293,384,0,57,20,0,13647,"87,338",17.6
54,2029,233,1325,14.0,1619,941,678,0,185,48,0,26894,"172,120",34.6
55,2030,570,3521,12.7,4223,2279,1944,0,447,123,0,52119,"333,559",67.3
56,2031,898,5209,15.5,5560,3726,1834,0,806,92,0,92295,"590,691",119.1
57,2032,505,3206,14.0,3078,2127,951,0,448,57,0,41528,"265,780",53.5
58,2033,266,1411,16.0,2130,1126,616,388,226,37,3,39241,"251,141",50.5
59,2034,602,2669,19.6,3563,2504,1059,0,523,79,0,44349,"283,832",57.1
60,2035,1470,7769,16.7,8753,5893,2860,0,1299,171,0,99434,"636,380",128.1
61,2036,1641,6967,20.4,10598,6745,3618,235,1424,216,1,144448,"924,466",187.8
62,2037,336,4676,6.6,1903,1221,682,0,308,28,0,39238,"251,120",50.5
63,2038,433,3032,13.7,1984,1672,312,0,415,18,0,31250,"200,002",40.4
