,postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,Unnamed: 0,id,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating
0,0800,123,204,34.8,3348,405,2699,244,71,51,1,32376,"207,209",48.4,2,232,DARWIN,NT,130.83668,-12.458684,,,Updated 3-Dec-2022,70101.0,Darwin City,701.0,Darwin,R1,-12.3932794,130.7766611,70101100203.0,70101100218.0,701011002.0,Darwin City,70101.0,Darwin City,701.0,Darwin,3.0,3.0,2.0,2.0,,,NT1,PHN701,Northern Territory,Darwin Waterfront Precinct,71150.0,Solomon,Inner Metropolitan
1,0810,3730,10091,35.5,26749,19774,5466,1509,3587,141,2,198075,"1,267,682",297.7,7,235,ALAWA,NT,130.866242,-12.381806,,,Updated 3-Dec-2022,70102.0,Darwin Suburbs,701.0,Darwin,R1,-12.38,130.873,70102101001.0,70102101001.0,701021010.0,Alawa,70102.0,Darwin Suburbs,701.0,Darwin,3.0,3.0,2.0,2.0,,9.221428871154787,NT1,PHN701,Northern Territory,Darwin,71000.0,Solomon,Inner Metropolitan
2,0812,2060,6486,30.7,13641,11034,2142,465,1993,65,2,101247,"647,978",151.9,24,19975,ANULA,NT,130.89047,-12.39124885,Northern Territory Country 1,Delivery Area,Updated 3-Dec-2022,70102.0,Darwin Suburbs,701.0,Darwin,R1,-12.3928,130.89,70102101104.0,70102101104.0,701021011.0,Anula,70102.0,Darwin Suburbs,701.0,Darwin,3.0,3.0,2.0,2.0,,4.407201766967769,NT1,PHN701,Northern Territory,Darwin,71000.0,Solomon,Inner Metropolitan
3,0820,1297,5607,20.0,19964,6959,6752,6253,1123,170,4,188975,"1,209,440",286.2,39,262,BAGOT,NT,130.873315,-12.428017,,,Updated 3-Dec-2022,70102.0,Darwin Suburbs,701.0,Darwin,R1,-12.411487,130.85541,70101100601.0,70101100601.0,701011006.0,Ludmilla - The Narrows,70101.0,Darwin City,701.0,Darwin,3.0,3.0,2.0,2.0,,24.7076091766357,NT1,PHN701,Northern Territory,Darwin,71000.0,Solomon,Inner Metropolitan
4,0822,1092,9101,9.7,18423,5735,6354,6334,887,194,11,140603,"899,862",214.0,60,282,ACACIA HILLS,NT,130.6254299,-11.75841975,,,Updated 3-Dec-2022,70205.0,Katherine,702.0,Northern Territory - Outback,R1,-12.7541536,131.1489404,70103103506.0,70103103513.0,701031035.0,Weddell,70103.0,Litchfield,701.0,Darwin,3.0,3.0,5.0,5.0,,5.1233239173889205,NT1,PHN701,Northern Territory,Tiwi Islands,74050.0,Solomon,Inner Metropolitan
5,0828,319,593,43.3,4418,1638,2780,0,257,62,0,58001,"371,208",88.4,170,322,BERRIMAH,NT,130.932068,-12.432024,,,Updated 3-Dec-2022,70102.0,Darwin Suburbs,701.0,Darwin,R1,-12.433889,130.922778,70102101201.0,70102101209.0,701021012.0,Berrimah,70102.0,Darwin Suburbs,701.0,Darwin,3.0,3.0,2.0,2.0,,38.947605133056605,NT1,PHN701,Northern Territory,Darwin,71000.0,Solomon,Inner Metropolitan
6,0829,39,342,5.8,1095,140,955,0,20,19,0,53328,"341,300",80.8,172,24048,HOLTZE,NT,130.9597671,-12.45763297,Northern Territory Country 1,Delivery Area,Updated 3-Dec-2022,70104.0,Palmerston,701.0,Darwin,R1,-12.4587,130.961,70104103807.0,70104103807.0,701041038.0,Durack - Marlow Lagoon,70104.0,Palmerston,701.0,Darwin,3.0,3.0,2.0,2.0,,,NT1,PHN701,Northern Territory,Palmerston,72800.0,Solomon,Inner Metropolitan
7,0830,2247,6006,35.9,16873,11964,2817,2092,2155,88,4,123408,"789,812",185.2,174,20057,ARCHER,NT,130.95807649999998,-12.52139649,Northern Territory Country 1,Delivery Area,Updated 3-Dec-2022,70104.0,Palmerston,701.0,Darwin,R1,-12.5164,130.971,70104104201.0,70104104202.0,701041042.0,Palmerston - South,70104.0,Palmerston,701.0,Darwin,3.0,3.0,2.0,2.0,,7.412225246429441,NT1,PHN701,Northern Territory,Palmerston,72800.0,Solomon,Inner Metropolitan
8,0832,2749,7488,35.9,17529,15607,1532,390,2690,58,1,86298,"552,306",129.5,186,20058,BAKEWELL,NT,130.99365509999998,-12.49684676,Northern Territory Country 1,Delivery Area,Updated 3-Dec-2022,70104.0,Palmerston,701.0,Darwin,R1,-12.4987,130.993,70104103606.0,70104103606.0,701041036.0,Bakewell,70104.0,Palmerston,701.0,Darwin,3.0,3.0,2.0,2.0,,27.3253059387207,NT1,PHN701,Northern Territory,Palmerston,72800.0,Solomon,Inner Metropolitan
9,0834,274,822,31.1,2132,1798,334,0,256,18,0,20441,"130,821",30.7,194,20062,VIRGINIA,NT,131.0234875,-12.54686461,,Delivery Area,Updated 3-Dec-2022,70103.0,Litchfield,701.0,Darwin,R1,-12.5405,131.029,70103103406.0,70103103407.0,701031034.0,Virginia,70103.0,Litchfield,701.0,Darwin,3.0,3.0,2.0,2.0,,,NT1,PHN701,Northern Territory,Palmerston,72800.0,Lingiari,Rural
10,0835,552,1311,39.7,4000,3136,864,0,520,32,0,41918,"268,277",62.9,195,21821,Coolalinga,NT,131.0415,-12.5231,,,Updated 3-Dec-2022,70103.0,Litchfield,701.0,Darwin,R1,-12.5242,131.042,70103103404.0,70103103408.0,701031034.0,Virginia,70103.0,Litchfield,701.0,Darwin,3.0,3.0,2.0,2.0,,47.0682983398438,NT1,PHN701,Northern Territory,Palmerston,72800.0,Lingiari,Rural
11,0836,1348,3038,41.6,9793,8293,1500,0,1263,85,0,79945,"511,646",120.0,198,24061,GIRRAWEEN,NT,131.0962,-12.5255,,Delivery Area,Updated 3-Dec-2022,70103.0,Litchfield,701.0,Darwin,R1,-12.542319,131.157189,70103103204.0,70103103223.0,701031032.0,Humpty Doo,70103.0,Litchfield,701.0,Darwin,3.0,3.0,5.0,2.0,,,,,,Litchfield,72300.0,,
12,0837,67,253,23.7,13139,402,232,12505,60,6,1,8113,"51,925",12.3,201,347,MANTON,NT,131.016647,-12.704767,,,Updated 3-Dec-2022,70103.0,Litchfield,701.0,Darwin,R1,-12.8316015,131.1604226,70103103506.0,70103103513.0,701031035.0,Weddell,70103.0,Litchfield,701.0,Darwin,3.0,3.0,5.0,5.0,,26.6997928619385,NT1,PHN701,Northern Territory,Litchfield,72300.0,Lingiari,Rural
13,0838,141,388,33.0,1157,856,301,0,128,13,0,9796,"62,696",14.7,203,349,BERRY SPRINGS,NT,131.0067348,-12.71878122,,,Updated 3-Dec-2022,70103.0,Litchfield,701.0,Darwin,R1,-12.7174085,131.0192349,70103103503.0,70103103510.0,701031035.0,Weddell,70103.0,Litchfield,701.0,Darwin,3.0,3.0,2.0,2.0,,15.613958358764696,NT1,PHN701,Northern Territory,Litchfield,72300.0,Lingiari,Rural
14,0839,34,393,5.3,1205,128,600,477,21,11,2,4218,"26,996",6.3,204,20065,COOLALINGA,NT,131.0402017,-12.52001124,,Delivery Area,Updated 3-Dec-2022,70103.0,Litchfield,701.0,Darwin,R1,-12.5188645,131.04066310000002,70103103404.0,70103103408.0,701031034.0,Virginia,70103.0,Litchfield,701.0,Darwin,3.0,3.0,2.0,2.0,,43.101921081543,NT1,PHN701,Northern Territory,Palmerston,72800.0,Lingiari,Rural
15,0840,129,428,29.4,839,794,45,0,126,3,0,6546,"41,892",9.8,205,350,DUNDEE BEACH,NT,130.3529386,-12.72451307,,,Updated 3-Dec-2022,70203.0,Daly - Tiwi - West Arnhem,702.0,Northern Territory - Outback,R1,-12.7575418,130.39284840000002,70203105708.0,70203105708.0,702031057.0,Alligator,70203.0,Daly - Tiwi - West Arnhem,702.0,Northern Territory - Outback,4.0,4.0,6.0,6.0,,8.11834144592285,NT1,PHN701,Northern Territory,Belyuen,70540.0,Lingiari,Rural
16,0841,86,323,22.9,927,516,411,0,74,12,0,9994,"63,963",15.2,208,353,DARWIN RIVER,NT,130.969862,-12.81922863,,,Updated 3-Dec-2022,70103.0,Litchfield,701.0,Darwin,R1,-12.8357379,130.97887749999998,70103103504.0,70103103515.0,701031035.0,Weddell,70103.0,Litchfield,701.0,Darwin,3.0,3.0,5.0,5.0,,,NT1,PHN701,Northern Territory,Palmerston,72800.0,Lingiari,Rural
17,0845,84,279,24.0,25738,343,348,25047,67,15,2,7270,"46,528",11.1,209,354,BATCHELOR,NT,131.038475,-13.045118,,,Updated 3-Dec-2022,70203.0,Daly - Tiwi - West Arnhem,702.0,Northern Territory - Outback,R1,-13.078501800000002,131.0625213,70203105711.0,70203105711.0,702031057.0,Alligator,70203.0,Daly - Tiwi - West Arnhem,702.0,Northern Territory - Outback,4.0,4.0,6.0,6.0,,122.881401062012,NT1,PHN701,Northern Territory,Coomalie,70700.0,Lingiari,Rural
18,0846,51,256,18.0,343,239,104,0,46,5,0,0,0,0.0,210,355,ADELAIDE RIVER,NT,131.095002,-13.210299,,,Updated 3-Dec-2022,70203.0,Daly - Tiwi - West Arnhem,702.0,Northern Territory - Outback,R1,-13.1748284,131.14013490000002,70203105711.0,70203105711.0,702031057.0,Alligator,70203.0,Daly - Tiwi - West Arnhem,702.0,Northern Territory - Outback,4.0,4.0,6.0,6.0,,63.03507232666021,NT1,PHN701,Northern Territory,Coomalie,70700.0,Lingiari,Rural
19,0847,24,273,7.7,283,125,158,0,21,3,0,0,0,0.0,211,356,PINE CREEK,NT,131.759154,-14.012122,,,Updated 3-Dec-2022,70203.0,Daly - Tiwi - West Arnhem,702.0,Northern Territory - Outback,R1,-13.8380256,131.8004409,70203105803.0,70203105803.0,702031058.0,Daly,70203.0,Daly - Tiwi - West Arnhem,702.0,Northern Territory - Outback,4.0,4.0,6.0,6.0,,200.976379394531,NT1,PHN701,Northern Territory,Katherine,72200.0,Lingiari,Rural
